bbl,address,bldgtype,ess,gfa,numbldgs,eui,energy (kBtu),bin,primary_type,other_types_dict, electricity , natural_gas , steam , fuel_4 , fuel_2 , elec kbtu , gas kbtu , total kbtu , EUI 
2057870130,3200 Netherland Ave,Multifamily Housing,92,103215,1,82,8466357.9,2084097,Multifamily Housing,," 928,627 "," 5,105,942 ",,,,,,,
1005617502,28 E. 10th Street,Multifamily Housing,34,127932,1,143,18294224.6,1009095,Multifamily Housing,," 3,470,680 "," 6,531,332 ",,,,,,,
1015627501,450 East 83rd Street,Multifamily Housing,1,184850,1,217.8,40251765.6,1087459;1050426;1050447,Multifamily Housing,"{'Multifamily Housing': 180466.0, 'Other': 4384.0, 'Parking': 13924.0}"," 7,950,989 "," 13,227,888 ",,,,,,,
1021260001,565 West 169th Street,Multifamily Housing,16,84100,1,197.7,16625620.8,1063014,Multifamily Housing,"{'Multifamily Housing': 75300.0, 'Retail Store': 8800.0}"," 2,716,714 "," 7,309,961 ",,,,,,,
1021800069,44 Bennett Avenue,Multifamily Housing,70,90295,1,99.3,8969794.3,1064403,Multifamily Housing,," 924,479 "," 5,649,354 ",,,,,,,
2057960135,3656 Johnson Ave,Multifamily Housing,95,86730,1,67,5810806.2,2084177,Multifamily Housing,," 674,912 "," 3,425,874 ",,,,,,,
2059190436,3777 Independence Ave,Multifamily Housing,38,273000,2,128.6,35105661.8,2085871,Multifamily Housing,," 5,846,803 "," 15,975,300 ",,,,,,,
4032760024,1 ASCAN AVE,Multifamily Housing,87,66600,3,102.4,6818707.5,4078367,Multifamily Housing,," 700,923 "," 4,020,600 ",,,,,,,
4014970023,4150 78 ST,Multifamily Housing,38,148956,1,145,21601142.2,4037029,Multifamily Housing,," 2,191,548 "," 12,567,300 ",,," 276,000 ",,,,
2059200500,3901 Independence Ave,Multifamily Housing,64,117594,1,114.1,13411796,2085872,Multifamily Housing,," 1,699,659 "," 7,610,800 ",,,,,,,
4021440020,10555 62 DR,Multifamily Housing,48,54996,1,139.5,7669644,4051293,Multifamily Housing,," 884,375 "," 4,291,300 ",,," 46,000 ",,,,
4021000029,98 50 63rd Drive,Multifamily Housing,53,141920,2,133.8,18992443.6,4431974;4431975,Multifamily Housing,," 2,695,572 "," 9,149,534 ",,," 345,000 ",,,,
4021000015,98-19 64th Avenue,Multifamily Housing,57,117920,2,128.5,15149033,4431969;4431968,Multifamily Housing,," 2,150,932 "," 7,374,516 ",,,,,,,
4021010024,98 40 64th Avenue,Multifamily Housing,64,141920,2,125.3,17785260.2,4431985;4431986,Multifamily Housing,," 2,480,904 "," 8,862,483 ",,,,,,,
1013510001,300 E 59 St,Multifamily Housing,50,315078,1,125.5,39547196.7,1040031,Multifamily Housing,"{'Multifamily Housing': 312078.0, 'Other': 3000.0, 'Parking': 67725.0}"," 6,812,728 "," 364,797 "," 13,683,357 ",,,,,,
1011387501,150 Columbus Ave,Multifamily Housing,1,289899,1,243.4,70568977.8,1028840,Multifamily Housing,," 17,196,541 "," 115,480 "," 13,415,607 ",,,,,,
4000477501,10-55 47th Ave,Multifamily Housing,52,58572,1,113.5,6647173.1,4436608,Multifamily Housing,," 1,207,294 "," 2,788,532 ",,,,,,,
4005830011,34-43 Crescent Street,Multifamily Housing,69,109042,1,104.5,11393891.3,4007264,Multifamily Housing,," 1,618,800 "," 5,437,766 ",,," 759,000 ",,,,
2033190029,1 East 198th Street,Multifamily Housing,75,68827,1,92.8,6390208.8,2017587,Multifamily Housing,," 1,180,098 "," 434,110 ",," 2,643,476 ",,,,,
2033180110,2830 Morris Avenue,Multifamily Housing,97,66836,1,63.3,4233884.9,2017537,Multifamily Housing,," 823,019 "," 289,710 ",," 1,606,146 ",,,,,
1008690064,16 East 40th Street,Office,51,96872,1,170.1,16481430.5,1017600,Office,"{'Retail Store': 7000.0, 'Office': 89872.0}"," 4,850,719 ", 518 ,," 2,628,058 ",,,,,
1007850075,260 West 36th Street,Office,82,94829,1,106.3,10080507.7,1014436,Office,"{'Retail Store': 6550.0, 'Office': 88279.0}"," 2,444,201 "," 265,746 ",," 2,552,635 ",,,,,
1014470013,325 East 72nd St,Multifamily Housing,56,89814,1,127.4,11446562.5,1044879,Multifamily Housing,," 1,532,108 "," 5,760,037 ",,,,,,,
1016237501,1787 Madison Avenue,Multifamily Housing,12,107775,1,176.5,19020016,1086215,Multifamily Housing,," 3,056,746 "," 8,172,700 ",,,,,,,
1013860064,6 East 72nd St,Multifamily Housing,,113068,1,128.2,14496054.9,1041377,Multifamily Housing,," 1,971,652 "," 2,785,770 "," 3,977,577 ",,,,,,
4014500032,3458 90 ST,Multifamily Housing,23,53394,1,156.8,8370969.7,4035695,Multifamily Housing,," 711,906 "," 5,601,607 ",,,,,,,
1018960057,609 West 115th Street,Residence Hall/Dormitory,73,116827,3,133.1,15550581.9,1075443,Residence Hall/Dormitory,," 4,991,074 "," 135,200 ",,,,,,,
1011280029,151 Central Park West,Multifamily Housing,92,134473,1,93.3,12552652.4,1028765,Multifamily Housing,," 1,767,419 "," 6,038,997 ",,,,,,,
2032490065,2754 Claflin Ave,Multifamily Housing,39,51100,1,119.1,6084560.8,2015316,Multifamily Housing,," 945,302 "," 311,690 ",,," 3,074,847 ",,,,
1014600017,435 East 65th St,Multifamily Housing,88,104633,1,138.3,14473988.8,1045397,Multifamily Housing,"{'Multifamily Housing': 104633.0, 'Parking': 5000.0}"," 1,901,235 "," 293,490 "," 6,122,389 ",,,,,,
1021620063,600-614 W 181 St,Retail Store,39,79575,1,161.7,12867306.5,1063910,Retail Store,," 4,203,580 "," 1,102,412 ",,,,,,,
